feature1,feature2,label
-9.930879183935529,-1.6111038171789285,6
0.09440876029886291,5.362723372039226,2
2.4930732240277234,9.586010501050467,1
0.6845932269033972,-3.1787861154125485,4
2.3646608667752878,7.161945872472801,5
-0.916665011095806,-3.150866973464069,4
-9.426146830970527,-0.9770326351204208,6
-1.691389873588807,4.125250574822018,0
-2.149635270583821,4.560947342762496,0
-2.6881271317960698,-1.1707644690843402,4
-5.720059655041563,-5.300720868236354,3
3.376106429720819,8.306259087439145,1
4.504676545503645,9.767257860626511,1
-5.945302595524876,-4.528022112227257,3
2.2513313073851355,4.499241346804103,2
2.5830626771482184,7.448459903810998,5
3.9315430943319902,6.999658559090044,5
4.35198576416191,9.602333957423633,1
-8.963369846086362,-0.9450702563188447,6
-6.779102629438295,-6.382682557992902,3
-7.912128108810381,-7.977555381933455,3
0.06458766037699837,2.658078331508265,2
-4.434508560954879,-7.623299418036483,3
-8.045582573512402,-7.264722038083829,3
-2.3564796807163133,3.4562695649230384,0
3.4465656770027797,8.055908677824007,1
4.151921102379329,5.746806372037594,5
-6.001531526186891,-6.886476152159354,3
-2.686945711503867,5.037019646485708,0
-5.164519549931446,-7.275989154987533,3
6.444060308515168,6.953533900820803,5
-8.40002026522894,-0.6977744250939344,6
0.2790045292881863,3.8839113838827948,2
-5.9043083205871945,-6.381868774465806,3
5.803874984346487,9.575320520003773,1
3.402728846293644,6.022631068854229,5
-1.6829006505610118,4.4331357164163565,0
0.003784886391026643,-3.8598142410634457,4
-6.130762543580372,-8.465169393330783,3
1.234682131348243,3.988265825510584,2
5.394418822893205,5.89834670123984,5
3.1965441707940436,5.648929002085835,5
2.0376378843732628,4.945297622408621,2
-7.83084751601916,-3.8026195210802096,6
6.212677846807866,9.286867363270503,1
5.497986984146488,9.822896942067576,1
1.6493627348049533,9.958242509652942,1
-9.874945455301898,-0.940157456665899,6
2.723396939763734,9.932334311622528,1
3.314207267071181,5.566638516550802,5
-1.0269228573192308,-0.5715031672793762,4
-4.361901033701302,-5.720895287995028,3
1.4154109853416852,-2.9764093402621543,4
3.331246001795459,6.433201356361751,5
-3.366091934396814,5.092910189855258,0
-1.3670172363331714,4.820435477434968,0
3.8777905789488374,8.863265620955236,1
3.6702866003611705,6.925833704301212,5
2.5586690686695497,7.5371751928822714,5
0.16458227276283743,4.4997644909996914,0
